GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC01,Total; Estimate; Population 18 to 24 years
HC01_MOE_VC01,Total; Margin of Error; Population 18 to 24 years
HC02_EST_VC01,Male; Estimate; Population 18 to 24 years
HC02_MOE_VC01,Male; Margin of Error; Population 18 to 24 years
HC03_EST_VC01,Female; Estimate; Population 18 to 24 years
HC03_MOE_VC01,Female; Margin of Error; Population 18 to 24 years
HC01_EST_VC02,Total; Estimate; Less than high school graduate
HC01_MOE_VC02,Total; Margin of Error; Less than high school graduate
HC02_EST_VC02,Male; Estimate; Less than high school graduate
HC02_MOE_VC02,Male; Margin of Error; Less than high school graduate
HC03_EST_VC02,Female; Estimate; Less than high school graduate
HC03_MOE_VC02,Female; Margin of Error; Less than high school graduate
HC01_EST_VC03,Total; Estimate; High school graduate (includes equivalency)
HC01_MOE_VC03,Total; Margin of Error; High school graduate (includes equivalency)
HC02_EST_VC03,Male; Estimate; High school graduate (includes equivalency)
HC02_MOE_VC03,Male; Margin of Error; High school graduate (includes equivalency)
HC03_EST_VC03,Female; Estimate; High school graduate (includes equivalency)
HC03_MOE_VC03,Female; Margin of Error; High school graduate (includes equivalency)
HC01_EST_VC04,Total; Estimate; Some college or associate's degree
HC01_MOE_VC04,Total; Margin of Error; Some college or associate's degree
HC02_EST_VC04,Male; Estimate; Some college or associate's degree
HC02_MOE_VC04,Male; Margin of Error; Some college or associate's degree
HC03_EST_VC04,Female; Estimate; Some college or associate's degree
HC03_MOE_VC04,Female; Margin of Error; Some college or associate's degree
HC01_EST_VC05,Total; Estimate; Bachelor's degree or higher
HC01_MOE_VC05,Total; Margin of Error; Bachelor's degree or higher
HC02_EST_VC05,Male; Estimate; Bachelor's degree or higher
HC02_MOE_VC05,Male; Margin of Error; Bachelor's degree or higher
HC03_EST_VC05,Female; Estimate; Bachelor's degree or higher
HC03_MOE_VC05,Female; Margin of Error; Bachelor's degree or higher
HC01_EST_VC07,Total; Estimate; Population 25 years and over
HC01_MOE_VC07,Total; Margin of Error; Population 25 years and over
HC02_EST_VC07,Male; Estimate; Population 25 years and over
HC02_MOE_VC07,Male; Margin of Error; Population 25 years and over
HC03_EST_VC07,Female; Estimate; Population 25 years and over
HC03_MOE_VC07,Female; Margin of Error; Population 25 years and over
HC01_EST_VC08,Total; Estimate; Less than 9th grade
HC01_MOE_VC08,Total; Margin of Error; Less than 9th grade
HC02_EST_VC08,Male; Estimate; Less than 9th grade
HC02_MOE_VC08,Male; Margin of Error; Less than 9th grade
HC03_EST_VC08,Female; Estimate; Less than 9th grade
HC03_MOE_VC08,Female; Margin of Error; Less than 9th grade
HC01_EST_VC09,"Total; Estimate; 9th to 12th grade, no diploma"
HC01_MOE_VC09,"Total; Margin of Error; 9th to 12th grade, no diploma"
HC02_EST_VC09,"Male; Estimate; 9th to 12th grade, no diploma"
HC02_MOE_VC09,"Male; Margin of Error; 9th to 12th grade, no diploma"
HC03_EST_VC09,"Female; Estimate; 9th to 12th grade, no diploma"
HC03_MOE_VC09,"Female; Margin of Error; 9th to 12th grade, no diploma"
HC01_EST_VC10,Total; Estimate; High school graduate (includes equivalency)
HC01_MOE_VC10,Total; Margin of Error; High school graduate (includes equivalency)
HC02_EST_VC10,Male; Estimate; High school graduate (includes equivalency)
HC02_MOE_VC10,Male; Margin of Error; High school graduate (includes equivalency)
HC03_EST_VC10,Female; Estimate; High school graduate (includes equivalency)
HC03_MOE_VC10,Female; Margin of Error; High school graduate (includes equivalency)
HC01_EST_VC11,"Total; Estimate; Some college, no degree"
HC01_MOE_VC11,"Total; Margin of Error; Some college, no degree"
HC02_EST_VC11,"Male; Estimate; Some college, no degree"
HC02_MOE_VC11,"Male; Margin of Error; Some college, no degree"
HC03_EST_VC11,"Female; Estimate; Some college, no degree"
HC03_MOE_VC11,"Female; Margin of Error; Some college, no degree"
HC01_EST_VC12,Total; Estimate; Associate's degree
HC01_MOE_VC12,Total; Margin of Error; Associate's degree
HC02_EST_VC12,Male; Estimate; Associate's degree
HC02_MOE_VC12,Male; Margin of Error; Associate's degree
HC03_EST_VC12,Female; Estimate; Associate's degree
HC03_MOE_VC12,Female; Margin of Error; Associate's degree
HC01_EST_VC13,Total; Estimate; Bachelor's degree
HC01_MOE_VC13,Total; Margin of Error; Bachelor's degree
HC02_EST_VC13,Male; Estimate; Bachelor's degree
HC02_MOE_VC13,Male; Margin of Error; Bachelor's degree
HC03_EST_VC13,Female; Estimate; Bachelor's degree
